@relation temp-relation-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute n-grams/CharacterNGramMeasure_2 numeric
@attribute n-grams/CharacterNGramMeasure_3 numeric
@attribute n-grams/CharacterNGramMeasure_4 numeric
@attribute n-grams/WordNGramContainmentMeasure_1_stopword-filtered numeric
@attribute n-grams/WordNGramContainmentMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_1 numeric
@attribute n-grams/WordNGramJaccardMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_3 numeric
@attribute n-grams/WordNGramJaccardMeasure_4 numeric
@attribute n-grams/WordNGramJaccardMeasure_4_stopword-filtered numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/SWO numeric
@attribute gold numeric

@data

1,0.7291,0.644385,0.608874,0.653846,0.5,0.548387,0.378378,0.324324,0.305556,0.305556,0.589744,0.774908,0.673077,0.553506,0.627156,4
2,0.653279,0.513733,0.430086,0.636364,0.3,0.368421,0.136364,0.045455,0,0,0.761905,0.6625,0.84127,0.3,0.628891,3.75
3,0.422204,0.506691,0.413576,0.533333,0.375,0.363636,0.214286,0.103448,0.071429,0.071429,0.56044,0.59893,0.615385,0.28877,0.620235,2.8
4,0.871622,0.836067,0.837312,0.95,0.9,0.655172,0.6,0.586207,0.571429,0.571429,0.955556,0.82866,0.985185,0.803738,0.707294,3.4
5,0.336474,0.227802,0.183361,0.368421,0.055556,0.233333,0.027778,0,0,0,0.419048,0.550725,0.552381,0.096618,0.604028,2.4
6,0.08368,0.078528,0.076355,0.352941,0.058824,0.2,0.029412,0,0,0,0.329545,0.530387,0.568182,0.132597,0.416895,1.333
7,0.549166,0.381071,0.257398,0.666667,0.208333,0.411765,0.108696,0.020408,0,0,0.590604,0.487013,0.52349,0.11039,0.52675,4.6
8,0.635838,0.569002,0.534561,0.736842,0.526316,0.518519,0.3125,0.212121,0.151515,0.151515,0.790476,0.702929,0.8,0.301255,0.745757,3.8
9,0.50363,0.635741,0.633905,0.705882,0.411765,0.545455,0.259259,0.142857,0.071429,0.071429,0.706422,0.714286,0.697248,0.285714,0.735876,4.2
10,0.280319,0.358967,0.364681,0.611111,0.222222,0.423077,0.125,0.0625,0,0,0.522124,0.624434,0.610619,0.208145,0.552749,2.6
11,0.542125,0.464808,0.368769,0.64,0.333333,0.484848,0.2,0.083333,0.041667,0.041667,0.65035,0.482759,0.48951,0.151724,0.656055,4.4
12,0.942219,0.87528,0.80268,0.916667,0.666667,0.785714,0.473684,0.384615,0.368421,0.368421,0.96875,0.750733,0.8,0.498534,0.850853,4.2
13,0.837669,0.744439,0.709646,0.75,0.583333,0.576923,0.4,0.305556,0.25,0.25,0.884615,0.886364,0.9,0.492424,0.913648,5
14,0.815328,0.832072,0.779322,0.875,0.483871,0.777778,0.348837,0.137255,0.076923,0.076923,0.942675,0.459119,0.509554,0.295597,0.754943,5
15,0.717011,0.722733,0.657657,0.583333,0.363636,0.466667,0.25,0.2,0.142857,0.142857,0.819444,0.447761,0.416667,0.432836,0.680029,5
16,0.546425,0.551149,0.543915,0.722222,0.5,0.565217,0.321429,0.296296,0.269231,0.269231,0.702128,0.717172,0.755319,0.494949,0.722232,3.4
17,0.760107,0.632241,0.482065,0.692308,0.357143,0.6,0.25,0.095238,0,0,0.535211,0.52459,0.464789,0.262295,0.590887,5
18,0.332644,0.35486,0.338196,0.466667,0.333333,0.318182,0.2,0.12,0.083333,0.083333,0.622449,0.638498,0.693878,0.262911,0.610318,4
