@relation temp-relation-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute n-grams/CharacterNGramMeasure_2 numeric
@attribute n-grams/CharacterNGramMeasure_3 numeric
@attribute n-grams/CharacterNGramMeasure_4 numeric
@attribute n-grams/WordNGramContainmentMeasure_1_stopword-filtered numeric
@attribute n-grams/WordNGramContainmentMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_1 numeric
@attribute n-grams/WordNGramJaccardMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_3 numeric
@attribute n-grams/WordNGramJaccardMeasure_4 numeric
@attribute n-grams/WordNGramJaccardMeasure_4_stopword-filtered numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/SWO numeric
@attribute gold numeric

@data

1,0.463077,0.441547,0.476212,0.833333,0.666667,0.714286,0.5,0.428571,0.333333,0.333333,0.769231,0.897959,0.846154,0.816327,1,5
2,0.503556,0.567792,0.520906,0.9,0.333333,0.9,0.214286,0.071429,0,0,0.8,0.894737,0.85,0.5,0.973962,5
3,0.653791,0.528084,0.583606,0.75,0.333333,0.6,0.2,0,0,0,0.842105,0.894737,0.894737,0.631579,0.481145,0.3
4,0.551146,0.545596,0.511783,0.888889,0.777778,0.727273,0.583333,0.416667,0.25,0.25,0.902439,0.894118,0.926829,0.517647,0.633779,0.6
5,0.491689,0.60021,0.612205,0.857143,0.666667,0.75,0.5,0.25,0,0,0.857143,0.892857,0.892857,0.464286,0.88956,4.2
6,0.724701,0.599864,0.472484,0.833333,0.6,0.714286,0.428571,0.142857,0,0,0.888889,0.892857,0.925926,0.464286,0.689779,3.6
7,0.83007,0.837048,0.744154,0.833333,0.6,0.714286,0.428571,0.142857,0,0,0.857143,0.892857,0.892857,0.464286,0.88956,5
8,0.62421,0.539441,0.39552,0.833333,0.333333,0.625,0.2,0,0,0,0.884615,0.892857,0.961538,0.535714,0.874567,2.75
9,0.896237,0.799833,0.732144,0.75,0.571429,0.666667,0.444444,0.222222,0.125,0.125,0.8,0.888889,0.8,0.349206,0.720047,5
10,0.509315,0.514442,0.545478,0.75,0.625,0.666667,0.5,0.444444,0.375,0.375,0.705882,0.888889,0.823529,0.761905,0.713763,3.75
11,0.874924,0.923107,0.923916,0.8,0.75,0.666667,0.6,0.5,0.333333,0.333333,0.842105,0.888889,0.842105,0.888889,1,5
12,0.759621,0.493204,0.386084,0.666667,0.333333,0.5,0.2,0.111111,0,0,0.807692,0.888889,0.923077,0.62963,0.749135,1.25
13,0.787299,0.654866,0.429144,0.875,0.571429,0.777778,0.363636,0.083333,0,0,0.9,0.885246,0.9,0.393443,1,5
14,0.775821,0.590095,0.460192,0.571429,0.428571,0.444444,0.3,0.1,0,0,0.78125,0.885246,0.84375,0.295082,0.654408,4.25
15,0.803542,0.730224,0.675756,0.833333,0.6,0.714286,0.428571,0.142857,0,0,0.896552,0.885246,0.931034,0.42623,0.767286,3.4
16,0.735545,0.649563,0.598245,0.833333,0.666667,0.714286,0.5,0.428571,0.333333,0.333333,0.9,0.885246,0.9,0.754098,0.80034,1.6
17,0.770063,0.681346,0.483053,0.857143,0.5,0.857143,0.375,0.125,0,0,0.821429,0.884615,0.821429,0.615385,1,5
18,0.605845,0.504164,0.408183,0.833333,0.666667,0.714286,0.5,0.428571,0.333333,0.333333,0.807692,0.884615,0.884615,0.807692,0.874567,3.6
19,0.770063,0.681346,0.483053,0.857143,0.5,0.857143,0.375,0.125,0,0,0.821429,0.884615,0.821429,0.615385,1,5
20,0.576084,0.549983,0.508189,0.833333,0.666667,0.714286,0.5,0.25,0,0,0.846154,0.884615,0.884615,0.5,0.689779,2.6
21,0.592504,0.574299,0.551264,0.875,0.777778,0.777778,0.636364,0.454545,0.272727,0.272727,0.878049,0.880952,0.902439,0.595238,0.76877,5
22,0.591864,0.64079,0.61149,0.833333,0.6,0.714286,0.428571,0.333333,0.2,0.2,0.666667,0.878049,0.857143,0.682927,0.804883,3.2
23,0.80103,0.740998,0.724082,0.833333,0.5,0.625,0.3,0.222222,0.125,0.125,0.931034,0.875,0.965517,0.65625,0.565101,4.8
