@relation temp-relation-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute n-grams/CharacterNGramMeasure_2 numeric
@attribute n-grams/CharacterNGramMeasure_3 numeric
@attribute n-grams/CharacterNGramMeasure_4 numeric
@attribute n-grams/WordNGramContainmentMeasure_1_stopword-filtered numeric
@attribute n-grams/WordNGramContainmentMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_1 numeric
@attribute n-grams/WordNGramJaccardMeasure_2_stopword-filtered numeric
@attribute n-grams/WordNGramJaccardMeasure_3 numeric
@attribute n-grams/WordNGramJaccardMeasure_4 numeric
@attribute n-grams/WordNGramJaccardMeasure_4_stopword-filtered numeric
@attribute string/GreedyStringTiling_3 numeric
@attribute string/LongestCommonSubsequenceComparator numeric
@attribute string/LongestCommonSubsequenceNormComparator numeric
@attribute string/LongestCommonSubstringComparator numeric
@attribute string/SWO numeric
@attribute gold numeric

@data

1,0.689692,0.563147,0.462539,0.666667,0.333333,0.526316,0.192308,0.090909,0.035714,0.035714,0.721053,0.675603,0.668421,0.150134,0.812164,4.2
2,0.50288,0.448697,0.389533,0.695652,0.318182,0.5,0.162791,0.090909,0.045455,0.045455,0.728972,0.611111,0.719626,0.166667,0.675634,4.25
3,0.59984,0.532587,0.499902,0.681818,0.346154,0.576923,0.25,0.131579,0.108108,0.108108,0.719424,0.830189,0.791367,0.354717,0.602507,4.8
4,0.76334,0.746967,0.646032,0.823529,0.444444,0.7,0.285714,0.09375,0.064516,0.064516,0.905172,0.818966,0.818966,0.25,0.78057,4.8
5,0.637154,0.466353,0.381369,0.527778,0.23913,0.413043,0.15493,0.066667,0.04,0.04,0.564748,0.635815,0.568345,0.144869,0.674909,4
6,0.769072,0.588596,0.497743,0.764706,0.333333,0.65,0.206897,0.030303,0,0,0.836207,0.803493,0.793103,0.235808,0.751136,4.8
7,0.296676,0.312103,0.260856,0.5625,0.307692,0.439024,0.206897,0.096774,0.015385,0.015385,0.61086,0.712121,0.638009,0.111111,0.538324,3.75
8,0.300401,0.220089,0.153536,0.52381,0.285714,0.366667,0.176471,0.085714,0.028571,0.028571,0.443396,0.602151,0.528302,0.150538,0.623067,4.8
9,0.623857,0.527781,0.471929,0.655172,0.378378,0.527778,0.259259,0.214286,0.178571,0.178571,0.623256,0.715405,0.637209,0.261097,0.684381,4
10,0.701285,0.670825,0.593967,0.837838,0.545455,0.673913,0.357143,0.210526,0.138614,0.138614,0.879725,0.711185,0.731959,0.190317,0.857801,4.8
11,0.419005,0.420941,0.346332,0.714286,0.333333,0.576923,0.212121,0.085714,0.028571,0.028571,0.669811,0.676923,0.622642,0.14359,0.803963,4.8
12,0.239634,0.306552,0.278923,0.636364,0.25,0.4,0.122449,0.06,0.02,0.02,0.622047,0.657244,0.732283,0.127208,0.684104,4.2
13,0.826016,0.793362,0.740186,1,0.833333,0.875,0.625,0.375,0.285714,0.285714,1,0.957746,1,0.591549,0.790457,4.5
14,0.599534,0.687859,0.635559,0.92,0.645161,0.793103,0.47619,0.333333,0.234043,0.234043,0.91018,0.579882,0.592814,0.242604,0.83082,4
15,0.628047,0.614519,0.520498,0.578947,0.263158,0.52381,0.192308,0.115385,0.08,0.08,0.585586,0.641711,0.54955,0.363636,0.769807,4
